City,Temperature,Humidity,AQI,Rainfall,WindSpeed,Pressure,Date,DayType,Disease_Risk,Risk_Level,Precaution_1,Precaution_2,Precaution_3
Pune,19.9,37,59,37.4,14.1,995,2025-11-01,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Bangalore,39.1,89,201,21.6,6.7,1012,2025-11-02,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Kolkata,22.7,68,153,20.0,10.9,999,2025-11-03,Tomorrow,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Bangalore,31.8,89,158,24.3,8.8,997,2025-11-04,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Nagpur,33.5,53,190,58.0,5.8,1015,2025-11-05,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Chennai,30.2,43,180,39.1,12.9,1002,2025-11-06,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,37.1,90,230,33.7,13.2,1015,2025-11-07,Today,Heatstroke,High,Stay hydrated and indoors,Avoid outdoor work 12–4 PM,Drink ORS if dizzy
Kolkata,19.5,61,132,29.4,10.6,1015,2025-11-01,Today,Common Cold,Moderate,Wear warm clothes,Drink warm water,Avoid chilled drinks
Nagpur,27.0,37,188,58.9,9.1,1011,2025-11-02,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,22.8,82,127,31.3,7.4,1015,2025-11-03,Today,Dengue,Moderate,Use mosquito repellent,Avoid stagnant water,Sleep under mosquito net
Delhi,22.4,47,217,26.6,19.4,995,2025-11-04,Tomorrow,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Mumbai,37.9,54,114,56.1,3.9,995,2025-11-05,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
Kolkata,20.6,47,250,21.6,16.4,1008,2025-11-06,Today,Asthma,High,Avoid outdoor activity,Use N95 mask,Keep inhaler handy
Delhi,21.7,41,65,35.4,8.1,1001,2025-11-07,Today,Dehydration,Moderate,Drink 2-3L water daily,Avoid caffeine,Use oral rehydration salts
